### R08_auth 2026-08-09T12:25:30Z

ad=172.26.0.7
## reconciler
 Container lab-reconciler-1-run-eff6fb43dea7 Creating 
 Container lab-reconciler-1-run-eff6fb43dea7 Created 
{"time":"2026-08-09T12:25:28.262764418Z","level":"INFO","msg":"reconciler started","master_name":"mymaster","interval":5000000000,"apply":true,"once":true,"local_sentinel":true,"heal_cooldown":0,"sentinels":["sentinel-1:26379"]}
{"time":"2026-08-09T12:25:28.813361749Z","level":"WARN","msg":"redis probe failed","addr":"10.255.255.254:6379","err":"dial tcp 10.255.255.254:6379: i/o timeout","seed":false}
{"time":"2026-08-09T12:25:28.972125829Z","level":"INFO","msg":"oracle writable master","master":"172.26.0.7:6379"}
{"time":"2026-08-09T12:25:28.972783926Z","level":"INFO","msg":"equal_epoch_sample","trap":false,"sample_size":1,"ads":["10.255.255.254:6379"],"epochs":null}
{"time":"2026-08-09T12:25:28.972831525Z","level":"WARN","msg":"DIVERGE","sentinel":"sentinel-1:26379","advertised":"10.255.255.254:6379","oracle":"172.26.0.7:6379","equal_epoch_trap":false}
{"time":"2026-08-09T12:25:28.97297262Z","level":"INFO","msg":"apply heal plan","sentinel":"sentinel-1:26379","failover_safe":true,"reason":"advertised_down_or_unreachable_failover_ok","advertised":"10.255.255.254:6379","oracle":"172.26.0.7:6379","flags":"","equal_epoch_trap":false}
{"time":"2026-08-09T12:25:28.972986296Z","level":"INFO","msg":"apply heal starting","action":"SENTINEL FAILOVER","sentinel":"sentinel-1:26379"}
{"time":"2026-08-09T12:25:28.973081395Z","level":"WARN","msg":"FAILOVER failed, trying REMOVE+MONITOR","err":"NOGOODSLAVE No suitable replica to promote"}
{"time":"2026-08-09T12:25:28.973098968Z","level":"INFO","msg":"apply heal starting","action":"SENTINEL REMOVE+MONITOR","sentinel":"sentinel-1:26379","ip":"172.26.0.7","port":6379}
{"time":"2026-08-09T12:25:28.981502376Z","level":"INFO","msg":"re-bound sentinel auth-pass after MONITOR"}
{"time":"2026-08-09T12:25:29.983512045Z","level":"INFO","msg":"heal succeeded","action":"SENTINEL REMOVE+MONITOR","sentinel":"sentinel-1:26379","master":"172.26.0.7:6379"}
{"time":"2026-08-09T12:25:29.983564634Z","level":"INFO","msg":"reconciler once complete"}
## SENTINEL master (kv pairs)
name	mymaster
ip	172.26.0.7
port	6379
runid	7526d33b8fb0554a06dda18b41a73e9df5e336a9
flags	master
link-pending-commands	0
link-refcount	1
last-ping-sent	0
last-ok-ping-reply	184
last-ping-reply	184
down-after-milliseconds	30000
info-refresh	1223
role-reported	master
role-reported-time	1284
config-epoch	0
num-slaves	4
num-other-sentinels	0
quorum	3
failover-timeout	180000
parallel-syncs	1
